time,speed,gradient
0,0,0
6.673,3.6,0
14.751,3.6,0.997542
17.493,3.6,0.306127
20.88,3.6,0
24.964,3.6,0
28.585,3.6,-0
30.889,4.4,-0
40.758,4.4,0.0267792
49.247,4.2,-0
51.014,3.9,-0
52.991,2.2,-0
67.677,2.2,0
82.155,2.2,-0
87.122,2.2,0.258252
93.379,3.1,0
108.061,3.1,0
114.221,3.1,-0
139.993,2.5,-0.0131572
145.377,3.3,-0
148.584,3.3,-0
152.923,3.3,0
155.163,4.4,-0
158.714,3.9,0
163.023,3.9,0
180.569,3.9,0.0523792
184.418,6.4,-0
188.403,7.2,0
192.441,7.2,0
199.41,7.8,-0.30607
205.297,7.8,-0.847465
208.212,9.2,-0
218.204,9.2,-0.0503775
221.91,9.4,-0
224.882,10.3,-0
230.557,10.3,-0.0762978
234.001,10.3,-0
235.899,10.8,-0
237.214,10.8,-0
242.561,9.4,0.159738
244.73,9.4,-0
246.97,9.4,0
248.229,7.2,-0
249.674,7.8,0
251.212,7.8,0
252.39,7.8,-0
253.639,7.8,0.197393
256.704,7.8,0
262.189,8.3,0
264.215,8.3,-0
265.228,8.3,-0
266.139,8.3,-0
268.276,8.3,0
269.281,8.3,-0
270.262,8.3,-0
271.76,8.3,0
272.933,8.3,-0
273.881,8.3,-0
275.158,8.3,0
276.51,8.3,0
279.245,8.3,0
282.102,8.3,0
284.859,8.3,1.46592
286.341,8.3,-0
287.829,8.3,0
294.256,8.3,0
316.929,2.5,-1.21609
318.981,5,-0
320.642,5,-0
320.962,5.8,-0
321.255,5.8,0
323.68,5.6,0
331.854,5.6,0
333.63,5.6,-0
335.096,5.6,-0
339.465,3.3,-0
341.597,3.3,-0
356.137,3.3,-0.0627195
368.433,3.3,-0
370.632,3.3,-0
373.661,3.3,-0
381.683,3.1,0
382.316,4.4,-0
388.172,4.4,-0.0301633
391.202,4.4,-0.0718761
395.767,5.8,0
400.222,5.8,0
404.48,5.8,-0
411.432,5.8,0
412.806,5.8,-0
415.687,8.1,-0
418.657,8.1,0.005917
422.615,8.1,0
426.506,8.1,-1.0637
428.468,8.1,-0
430.466,8.1,0
435.947,3.6,0
438.299,3.6,-0
440.426,3.6,-0
445.474,3.6,0
448.56,3.6,-0.183622
451.376,3.6,-0
452.005,3.6,-0
459.541,3.6,0
462.034,3.6,-0
466.108,7.8,0
467.803,7.8,-0
